;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Название;Вид;Способ;Состав;Тип;%;г;р;Масса;Вес ингр-тов;Траты всего;Потери, %;Маржа;Цена за 1 кг;ЧП;Ссылка интернет;Ссылка ПК;Наличие;Примечание;;
Карась ХК;Рыба;ХК;Бадьян;Специи;0,01%;0,10 г;0,39 ₽;3500,00 г;0,35 г;1,38 ₽;;100%;0,79 ₽;0,39 ₽;https://www.youtube.com/watch?v=74iIMezDsSk;D:\Video\Колбаса_рецепты\КАРАСЬ холодного копчения по казахски от ИГОРЯ в коптильне москит.mp10;Нет;;;
Карась ХК;Рыба;ХК;Кориандр;Специи;0,30%;3,00 г;1,51 ₽;3500,00 г;10,50 г;5,27 ₽;;100%;3,01 ₽;1,51 ₽;https://www.youtube.com/watch?v=74iIMezDsSk;D:\Video\Колбаса_рецепты\КАРАСЬ холодного копчения по казахски от ИГОРЯ в коптильне москит.mp11;Да;;;
Горбуша ХК;Рыба;ХК;Горбуша;Рыба;100,00%;1000,00 г;378,56 ₽;3500,00 г;3500,00 г;1 324,95 ₽;15%;100%;890,72 ₽;445,36 ₽;https://www.youtube.com/watch?v=ynKD-Uz8MzQ;D:\Video\Колбаса_рецепты\горбуша холодного копчения в коптильне москит.mp4;Нет;;;
Горбуша ХК;Рыба;ХК;Вода;Добавки;100,00%;1000,00 г;1,00 ₽;3500,00 г;3500,00 г;3,50 ₽;;100%;2,00 ₽;1,00 ₽;https://www.youtube.com/watch?v=ynKD-Uz8MzQ;D:\Video\Колбаса_рецепты\горбуша холодного копчения в коптильне москит.mp5;Да;;;
Горбуша ХК;Рыба;ХК;Соль пищевая;Специи;25,00%;250,00 г;9,63 ₽;3500,00 г;875,00 г;33,69 ₽;;100%;19,25 ₽;9,63 ₽;https://www.youtube.com/watch?v=ynKD-Uz8MzQ;D:\Video\Колбаса_рецепты\горбуша холодного копчения в коптильне москит.mp6;Да;;;
Горбуша ХК;Рыба;ХК;Сахар;Специи;0,20%;2,00 г;0,16 ₽;3500,00 г;7,00 г;0,57 ₽;;100%;0,32 ₽;0,16 ₽;https://www.youtube.com/watch?v=ynKD-Uz8MzQ;D:\Video\Колбаса_рецепты\горбуша холодного копчения в коптильне москит.mp7;Да;;;
Еврейская;Колбаса;Сырокопченое;Говядина;Говядина;75,00%;750,00 г;532,49 ₽;3500,00 г;2625,00 г;1 863,72 ₽;35%;200%;2 457,66 ₽;1 638,44 ₽;Еврейская копчёная колбаса в домашних условиях. Стандарт 1938г - YouTube;D:\Video\Колбаса_рецепты\Еврейская копчёная колбаса в домашних условиях. Стандарт 1938г.mp4;Да;;;
Еврейская;Колбаса;Сырокопченое;Жир говяжий;Говядина;25,00%;250,00 г;62,50 ₽;3500,00 г;875,00 г;218,75 ₽;35%;200%;288,46 ₽;192,31 ₽;Еврейская копчёная колбаса в домашних условиях. Стандарт 1938г - YouTube;D:\Video\Колбаса_рецепты\Еврейская копчёная колбаса в домашних условиях. Стандарт 1938г.mp5;Нет;;;
Еврейская;Колбаса;Сырокопченое;Соль нитритная;Специи;2,80%;28,00 г;3,58 ₽;3500,00 г;98,00 г;12,54 ₽;;200%;10,75 ₽;7,17 ₽;Еврейская копчёная колбаса в домашних условиях. Стандарт 1938г - YouTube;D:\Video\Колбаса_рецепты\Еврейская копчёная колбаса в домашних условиях. Стандарт 1938г.mp6;Да;;;
Еврейская;Колбаса;Сырокопченое;Сахар;Специи;0,10%;1,00 г;0,08 ₽;3500,00 г;3,50 г;0,28 ₽;;200%;0,24 ₽;0,16 ₽;Еврейская копчёная колбаса в домашних условиях. Стандарт 1938г - YouTube;D:\Video\Колбаса_рецепты\Еврейская копчёная колбаса в домашних условиях. Стандарт 1938г.mp7;Да;;;
Еврейская;Колбаса;Сырокопченое;Перец черный молотый;Специи;0,20%;2,00 г;2,19 ₽;3500,00 г;7,00 г;7,66 ₽;;200%;6,57 ₽;4,38 ₽;Еврейская копчёная колбаса в домашних условиях. Стандарт 1938г - YouTube;D:\Video\Колбаса_рецепты\Еврейская копчёная колбаса в домашних условиях. Стандарт 1938г.mp8;Да;;;
Еврейская;Колбаса;Сырокопченое;Чеснок сушеный;Специи;0,10%;1,00 г;0,88 ₽;3500,00 г;3,50 г;3,07 ₽;;200%;2,64 ₽;1,76 ₽;Еврейская копчёная колбаса в домашних условиях. Стандарт 1938г - YouTube;D:\Video\Колбаса_рецепты\Еврейская копчёная колбаса в домашних условиях. Стандарт 1938г.mp9;Да;;;
Еврейская;Колбаса;Сырокопченое;Нало Ферм 45/50;Оболочка;0,10%;1,00 г;32,76 ₽;3500,00 г;3,50 г;114,66 ₽;;200%;98,28 ₽;65,52 ₽;Еврейская копчёная колбаса в домашних условиях. Стандарт 1938г - YouTube;D:\Video\Колбаса_рецепты\Еврейская копчёная колбаса в домашних условиях. Стандарт 1938г.mp10;Да;;;
